days waited,apples
We waited for days: 10,68
We waited for days: 5,47
We waited for days: 11,48
We waited for days: 13,58
We waited for days: 4,16
We waited for days: 4,31
We waited for days: 12,70
We waited for days: 12,71
We waited for days: 13,55
We waited for days: 2,11
We waited for days: 3,18
We waited for days: 13,52
We waited for days: 11,54
We waited for days: 3,37
We waited for days: 1,32
We waited for days: 4,37
We waited for days: 3,12
We waited for days: 3,18
We waited for days: 5,36
We waited for days: 12,63
We waited for days: 14,75
We waited for days: 5,30
We waited for days: 9,41
We waited for days: 1,20
We waited for days: 6,29
We waited for days: 4,34
We waited for days: 7,45
We waited for days: 2,34
We waited for days: 12,55
We waited for days: 6,32
We waited for days: 2,17
We waited for days: 8,46
We waited for days: 3,29
We waited for days: 7,37
We waited for days: 7,47
We waited for days: 1,28
We waited for days: 12,67
We waited for days: 5,32
We waited for days: 1,6
We waited for days: 1,18
We waited for days: 4,25
We waited for days: 9,46
We waited for days: 12,77
We waited for days: 14,68
We waited for days: 14,61
We waited for days: 14,73
We waited for days: 2,21
We waited for days: 13,76
We waited for days: 6,47
We waited for days: 0,21
We waited for days: 13,65
We waited for days: 8,60
We waited for days: 1,22
We waited for days: 10,60
We waited for days: 1,6
We waited for days: 0,14
We waited for days: 12,74
We waited for days: 13,73
We waited for days: 2,26
We waited for days: 9,59
We waited for days: 9,48
We waited for days: 4,28
We waited for days: 7,34
We waited for days: 12,54
We waited for days: 8,52
We waited for days: 3,22
We waited for days: 13,66
We waited for days: 8,50
We waited for days: 4,31
We waited for days: 5,26
We waited for days: 1,17
We waited for days: 2,21
We waited for days: 2,13
We waited for days: 4,16
We waited for days: 11,53
We waited for days: 6,40
We waited for days: 9,40
We waited for days: 3,26
We waited for days: 13,61
We waited for days: 13,60
We waited for days: 3,39
We waited for days: 6,52
We waited for days: 6,41
We waited for days: 6,32
We waited for days: 7,34
We waited for days: 8,61
We waited for days: 12,51
We waited for days: 0,8
We waited for days: 9,62
We waited for days: 13,78
We waited for days: 9,59
We waited for days: 9,56
We waited for days: 1,4
We waited for days: 2,15
We waited for days: 5,49
We waited for days: 0,25
We waited for days: 6,29
We waited for days: 4,43
We waited for days: 0,3
We waited for days: 7,35
